claim_id,claim_text,source_id,claim_weight,allowed_status,scope_note,manuscript_section,status
C001,Household WASH access and service conditions show severe stress within the assessed Gaza household frame,GJWASH_2025_08,high,allowed,Limit wording to the source assessment frame,Results,pending_exact_page
C002,Al Mawasi 7 provides local evidence of concentrated WASH and displacement-related stress,ALMAWASI7_EA32,medium,allowed_local_only,Name the enumeration area and avoid Gaza-wide language,Results or case illustration,pending_exact_page
C003,As Sawarah provides local evidence of concentrated WASH and displacement-related stress,ASSAWARAH_EA8,medium,allowed_local_only,Name the enumeration area and avoid Gaza-wide language,Results or case illustration,pending_exact_page
C004,Light-touch monitoring reports can support time-stamped directional WASH trend language,LTM_2025_04_R3,medium,allowed_indicative_only,Use assessed-frame language only,Background or Results,pending_exact_page
C005,Light-touch monitoring reports can support time-stamped directional WASH trend language,LTM_2025_06_R4,medium,allowed_indicative_only,Use assessed-frame language only,Background or Results,pending_exact_page
C006,RDNA supports infrastructure damage service disruption and recovery-context claims,RDNA_2025_02,high,allowed_context,Do not use as household outcome survey,Background or Discussion,pending_exact_page
C007,Turkman et al. support localized water-quality findings and waterborne-disease mechanism language for Khan Younis and the Middle Area,HEALTH_WATER_GAZA,medium,allowed_background_only,Use only for reported May-June 2024 sampled settings; do not generalize Gaza-wide,Background or Results,page_bound_uploaded_file
C008,Shelter-WASH-FSS IDP source supports Gaza-specific claims,SHELTER_WASH_FSS_IDP_2025_07,none,blocked_pending_scope,Do not use until project geography is confirmed,None,blocked
C009,Fayad et al. support sector-level political-economy context for water and sanitation delivery barriers in Gaza,FAYAD_PLOS_WATER_2025,medium,allowed_political_economy_context,Use as scoping-review context only; do not treat as current household WASH measurement,Background or Discussion,page_bound_uploaded_file
C010,OCHA 17 April 2026 supports time-stamped official WASH context,OCHA_SITREP_2026_04_17,medium,allowed_indicative_only,Use only as official time-stamped context; not LTM Round 3 replacement,Background or Results,page_bound_url
C011,OCHA 15 May 2026 supports time-stamped official WASH infrastructure context,OCHA_SITREP_2026_05_15,medium,allowed_indicative_only,Use only as official time-stamped context; not LTM Round 4 or RDNA replacement,Background Results or Discussion,page_bound_url
C012,WASH Cluster Palestine page supports coordination-hub and source-discovery context,WASH_CLUSTER_PALESTINE_2026,low,allowed_background_only,Use only as hub context; do not cite for quantified findings unless linked report is separately bound,Methods or Background,page_bound_url
C013,JMP household workbook supports country-level occupied Palestinian territory WASH baseline estimates,JMP_WASH_HH_2025_COUNTRY,low,allowed_background_only,Use only for country-level 2024 baseline context; not Gaza-specific crisis evidence,Background,page_bound_derived_csv
C014,JMP State of Palestine profile supports national profile estimates by total urban and rural setting,JMP_PSE_PROFILE_2025,low,allowed_background_only,Use only for 2024 State of Palestine baseline context; not Gaza-specific crisis evidence,Background,page_bound_derived_csv
C015,JMP inequalities workbook supports pre-crisis wealth-quintile and Gaza-region inequality context,JMP_PSE_INEQUALITIES_2021,low,allowed_background_only,Use only for 2020 inequality context; not current Gaza field validation,Background,page_bound_derived_csv
C016,JMP WASH in health care facilities workbook supports facility-level baseline context,JMP_WINHCF_PSE_2024,low,allowed_background_only,Use only for country-level health-care-facility baseline context; not Gaza-specific crisis evidence,Background or Discussion,page_bound_derived_csv
